Source Code,Term Original,Value Set Name,Code System Name,Code System Version
1003375005,Metachromatic leukodystrophy due to sphingolipid activator protein I deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
10741005,Lipid storage disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
109041000119107,Complex dyslipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
111231000119109,Dyslipidemia with high density lipoprotein below reference range and triglyceride above reference range due to type 2 diabetes mellitus,"Dyslipidemia, All",SNOMED CT US Edition,20250901
111303009,Sjögren-Larsson syndrome,"Dyslipidemia, All",SNOMED CT US Edition,20250901
111382002,Chemically-induced lipidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
111385000,Tay-Sachs disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
11455007,Lipoidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
114831000119107,Hyperlipidemia caused by steroid,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1156591005,Fatty acid oxidation defect,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1156792000,Atypical Gaucher disease due to saposin C deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1156813002,Gaucher disease with ophthalmoplegia and cardiovascular calcification,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1172683008,"Microcephaly, congenital cataract, psoriasiform dermatitis syndrome","Dyslipidemia, All",SNOMED CT US Edition,20250901
1186734006,Autosomal recessive complex spastic paraplegia due to Kennedy pathway dysfunction,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1187040004,Familial steroid-resistant nephrotic syndrome with adrenal insufficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1187511005,Neonatal form of carnitine palmitoyltransferase II deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1187514002,Myopathic form of carnitine palmitoyltransferase II deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1187534001,Electron transfer flavoprotein-ubiquinone oxidoreductase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1187536004,Severe infantile form of carnitine palmitoyltransferase II deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1187541007,Beta chain electron transfer flavoprotein deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1187542000,Alpha chain electron transfer flavoprotein deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1197489003,Familial chylomicronemia syndrome,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1208738002,TMEM199 congenital disorder of glycosylation,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1208936008,"Congenital ichthyosis, intellectual disability, spastic quadriplegia syndrome","Dyslipidemia, All",SNOMED CT US Edition,20250901
12246008,Acute neuronopathic Gaucher's disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1230273004,Megaconial congenital muscular dystrophy,"Dyslipidemia, All",SNOMED CT US Edition,20250901
123963007,Disorder of cholesterol metabolism,"Dyslipidemia, All",SNOMED CT US Edition,20250901
124122005,Deficiency of 3-hydroxyacyl-CoA dehydrogenase,"Dyslipidemia, All",SNOMED CT US Edition,20250901
124257002,Deficiency of carnitine acetyltransferase,"Dyslipidemia, All",SNOMED CT US Edition,20250901
124621004,Deficiency of enoyl-CoA hydratase,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1256066001,Xanthoma due to secondary hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1256071008,Xanthoma due to primary hypertriglyceridemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1256073006,Xanthoma due to primary combined hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1256075004,Xanthoma due to primary hypercholesterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1256077007,Xanthoma due to lipid storage disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1258977001,Xanthoma due to primary chylomicronemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1260391004,Dystonia due to metachromatic leucodystrophy,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1264212004,Lipoprotein (a) hyperlipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1264565005,Familial lecithin cholesterol acyltransferase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1279844009,Primary triglyceride deposit cardiomyovasculopathy,"Dyslipidemia, All",SNOMED CT US Edition,20250901
128596003,Medium-chain acyl-coenzyme A dehydrogenase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
129589009,Endogenous hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
129590000,Exogenous hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
129591001,Mixed hypercholesterolemia and hypertriglyceridemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1296784002,Neuronal ceroid lipofuscinosis type 6A,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1362021005,Chronic neurovisceral acid sphingomyelinase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
13644009,Hypercholesterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
1366322006,Epsilon-N-trimethyllysine hydroxylase carnitine deficiency disorder,"Dyslipidemia, All",SNOMED CT US Edition,20250901
137931000119102,Hyperlipidemia due to type 2 diabetes mellitus,"Dyslipidemia, All",SNOMED CT US Edition,20250901
137941000119106,Hyperlipidemia due to type 1 diabetes mellitus,"Dyslipidemia, All",SNOMED CT US Edition,20250901
14210003,Lipofuscinosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
14637005,Late-infantile neuronal ceroid lipofuscinosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
15059000,Retinal dystrophy in systemic lipidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
15346004,Familial hypoalphalipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
154739000,Disorders of lipid metabolism (& [Fredrickson types] or [hyperlipidemia]),"Dyslipidemia, All",SNOMED CT US Edition,20250901
1571000119104,Mixed hyperlipidemia due to type 1 diabetes mellitus,"Dyslipidemia, All",SNOMED CT US Edition,20250901
15771000119109,Familial hyperalphalipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
16517004,Cerebral lipidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
16652001,Fabry's disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
17608003,CHILD syndrome,"Dyslipidemia, All",SNOMED CT US Edition,20250901
18756002,Juvenile GM1 gangliosidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
18927009,"Niemann-Pick disease, type D","Dyslipidemia, All",SNOMED CT US Edition,20250901
190773008,Hyperbetalipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
190774002,"Hyperlipidemia, group A","Dyslipidemia, All",SNOMED CT US Edition,20250901
190785000,Hypoalphalipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
190786004,Hypo-beta-lipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
190787008,Abetalipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
190794006,Gaucher's disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
192782005,Galactosylceramide beta-galactosidase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
192787004,B variant hexosaminidase A deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
192788009,Retinal dystrophy in cerebroretinal lipidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
19604005,Triglyceride storage disease with ichthyosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
21764004,Renal carnitine transport defect,"Dyslipidemia, All",SNOMED CT US Edition,20250901
22886006,"Glutaric aciduria, type 2","Dyslipidemia, All",SNOMED CT US Edition,20250901
233720006,Pulmonary lipid storage disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
235915002,Synthetic defect of bile acids,"Dyslipidemia, All",SNOMED CT US Edition,20250901
237996001,Long chain acyl-CoA dehydrogenase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
237997005,Very long chain acyl-CoA dehydrogenase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
237998000,Short chain 3-hydroxyacyl-CoA dehydrogenase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
237999008,Mitochondrial trifunctional protein deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238000002,Combined deficiency of long chain 3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238001003,Carnitine palmitoyltransferase I deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238002005,Carnitine palmitoyltransferase II deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238003000,Carnitine acylcarnitine translocase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238004006,Succinyl-CoA acetoacetate transferase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238017009,Disorder of lipid storage and metabolism,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238018004,Total hexosaminidase deficiency - infantile,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238019007,Total hexosaminidase deficiency - juvenile,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238020001,Total hexosaminidase deficiency - adult,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238021002,B variant hexosaminidase A deficiency - infantile,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238022009,B variant hexosaminidase A deficiency - juvenile,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238023004,B variant hexosaminidase A deficiency - adult,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238024005,B1 variant hexosaminidase A deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238025006,GM1 gangliosidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238026007,Infantile GM1 gangliosidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238027003,Adult GM1 gangliosidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238028008,Sphingolipidosis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238030005,Galactocerebroside beta-galactosidase deficiency - early onset,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238031009,Arylsulfatase A deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238032002,Disorder of cholesterol catabolism,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238033007,3-Beta-hydroxy-delta-5-C27-steroid dehydrogenase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238035000,Delta-4-3-oxosteroid-5-beta-reductase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238036004,Disorder of cholesterol synthesis,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238037008,Disorder of lipoprotein storage and metabolism,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238038003,Familial hyperlipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238040008,Familial combined hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238041007,Familial hypolipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238074007,"Xanthomatosis, familial","Dyslipidemia, All",SNOMED CT US Edition,20250901
238076009,Primary hypercholesterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238077000,Polygenic hypercholesterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238078005,Familial hypercholesterolemia - homozygous,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238079002,Familial hypercholesterolemia - heterozygous,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238080004,Hyperalphalipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238081000,Familial defective apolipoprotein B-100,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238082007,Secondary hypercholesterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238083002,Primary hypertriglyceridemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238084008,Very low density lipoprotinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238085009,Fredrickson type IV hyperlipoproteinemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238087001,Secondary hypertriglyceridemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238088006,Primary combined hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238089003,Secondary combined hyperlipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238090007,Hypolipidemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238091006,Lecithin cholesterol acyltransferase deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238092004,Fish-eye disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238093009,Familial hypobetalipoproteinemia - homozygous form,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238094003,Familial hypobetalipoproteinemia - heterozygous form,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238095002,Apolipoprotein A-I deficiency,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238096001,Apolipoprotein A-I variant disorder,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238097005,Apo A-I Milano variant,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238098000,Apo A-I Marburg variant,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238099008,ApoA-I Munster variant 1,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238100000,ApoA-I Munster variant 2,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238101001,ApoA-I Munster variant 3,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238102008,Apo A-I Giessen variant,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238103003,Apo A-I variant fisheye-like syndrome,"Dyslipidemia, All",SNOMED CT US Edition,20250901
238104009,Sitosterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
23849003,Sandhoff disease,"Dyslipidemia, All",SNOMED CT US Edition,20250901
240095001,Lipid storage myopathy,"Dyslipidemia, All",SNOMED CT US Edition,20250901
24326000,"Metachromatic leukodystrophy, adult type","Dyslipidemia, All",SNOMED CT US Edition,20250901
25362006,HSMN IV,"Dyslipidemia, All",SNOMED CT US Edition,20250901
267431006,Disorder of lipid metabolism,"Dyslipidemia, All",SNOMED CT US Edition,20250901
267432004,Pure hypercholesterolemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
267433009,Pure hyperglyceridemia,"Dyslipidemia, All",SNOMED CT US Edition,20250901
