Source Code,Term Original,Value Set Name,Code System Name,Code System Version
1003605004,Glaucoma suspect due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
102621000119101,Skin ulcer due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
104961000119108,Ischemia of retina due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
10656271000119102,Skin ulcer of toe due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
10660471000119109,Ulcer of left foot due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
10661671000119102,Ulcer of right foot due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
110171000119107,Ulcer of lower limb due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
110181000119105,Peripheral sensory neuropathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
111231000119109,Dyslipidemia with high density lipoprotein below reference range and triglyceride above reference range due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1196922005,Neovascular glaucoma due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
119831000119106,Hypoglycemia unawareness due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
120731000119103,Hypoglycemia due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
127991000119101,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1332465000,Hypertension in chronic kidney disease stage 3B due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1332466004,Hypertension in chronic kidney disease stage 3A due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1332469006,Chronic kidney disease stage 3B due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1332470007,Chronic kidney disease stage 3A due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
137931000119102,Hyperlipidemia due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
138941000119105,Severe nonproliferative retinopathy due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
140131000119102,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
140381000119104,Neuropathic ulcer of toe due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
140391000119101,Ulcer of toe due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
140411000119101,Ischemic ankle ulcer due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
140421000119108,Neuropathic ankle ulcer due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
140521000119107,Ischemic ulcer of foot due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
140531000119105,Neuropathic ulcer of foot due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1481000119100,Diabetes mellitus type 2 without retinopathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1491000119102,Vitreous hemorrhage due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1501000119109,Proliferative retinopathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1511000119107,Peripheral neuropathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1521000119100,Foot ulcer due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1531000119102,Dermopathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
157141000119108,Proteinuria due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
15936501000119100,Inflammatory dermatosis due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
