Source Code,Term Original,Value Set Name,Code System Name,Code System Version
1091000119108,Obstructive sleep apnea of child,"Sleep Apnea, Obstructive",SNOMED CT US Edition,20250901
1101000119103,Obstructive sleep apnea of adult,"Sleep Apnea, Obstructive",SNOMED CT US Edition,20250901
16262171000119105,Severe obstructive sleep apnea of adult,"Sleep Apnea, Obstructive",SNOMED CT US Edition,20250901
16262221000119100,Mild obstructive sleep apnea of adult,"Sleep Apnea, Obstructive",SNOMED CT US Edition,20250901
16262271000119104,Moderate obstructive sleep apnea of adult,"Sleep Apnea, Obstructive",SNOMED CT US Edition,20250901
16275741000119100,Severe pediatric obstructive sleep apnea,"Sleep Apnea, Obstructive",SNOMED CT US Edition,20250901
194441007,Sleep apnea (& [obstructive]),"Sleep Apnea, Obstructive",SNOMED CT US Edition,20250901
196167006,Obstructive sleep apnea,"Sleep Apnea, Obstructive",SNOMED CT US Edition,20250901
217781531000119107,Neonatal obstructive sleep apnea,"Sleep Apnea, Obstructive",SNOMED CT US Edition,20250901
327.23,Obstructive sleep apnea (adult)(pediatric),"Sleep Apnea, Obstructive",ICD-9-CM Diagnosis,31/32
78275009,Obstructive sleep apnea syndrome,"Sleep Apnea, Obstructive",SNOMED CT US Edition,20250901
G47.33,Obstructive sleep apnea (adult) (pediatric),"Sleep Apnea, Obstructive",ICD-10-CM,2026
