Source Code,Term Original,Value Set Name,Code System Name,Code System Version
1055297002,Gonarthrosis of left knee due to and following trauma,Osteoarthritis,SNOMED CT US Edition,20250901
1055298007,Gonarthrosis of right knee due to and following trauma,Osteoarthritis,SNOMED CT US Edition,20250901
1071171000119104,Secondary osteoarthritis of hip,Osteoarthritis,SNOMED CT US Edition,20250901
1074061000119108,Chondrocalcinosis of right shoulder,Osteoarthritis,SNOMED CT US Edition,20250901
1074071000119102,Chondrocalcinosis of left shoulder,Osteoarthritis,SNOMED CT US Edition,20250901
1074321000119100,Secondary osteoarthritis of left hip,Osteoarthritis,SNOMED CT US Edition,20250901
1074331000119102,Secondary osteoarthritis of right hip,Osteoarthritis,SNOMED CT US Edition,20250901
1074341000119106,Secondary osteoarthritis of bilateral knees,Osteoarthritis,SNOMED CT US Edition,20250901
1074351000119108,Secondary osteoarthritis of left knee,Osteoarthritis,SNOMED CT US Edition,20250901
1074361000119105,Secondary osteoarthritis of right knee,Osteoarthritis,SNOMED CT US Edition,20250901
1074371000119104,Osteoarthritis of right acromioclavicular joint,Osteoarthritis,SNOMED CT US Edition,20250901
1074381000119101,Osteoarthritis of right glenohumeral joint,Osteoarthritis,SNOMED CT US Edition,20250901
1074391000119103,Osteoarthritis of right sternoclavicular joint,Osteoarthritis,SNOMED CT US Edition,20250901
1074401000119101,Osteoarthritis of bilateral acromioclavicular joints,Osteoarthritis,SNOMED CT US Edition,20250901
1074411000119103,Bilateral osteoarthritis of sternoclavicular joints,Osteoarthritis,SNOMED CT US Edition,20250901
1074421000119105,Osteoarthritis of bilateral glenohumeral joints,Osteoarthritis,SNOMED CT US Edition,20250901
1074431000119108,Osteoarthritis of left acromioclavicular joint,Osteoarthritis,SNOMED CT US Edition,20250901
1074441000119104,Osteoarthritis of left glenohumeral joint,Osteoarthritis,SNOMED CT US Edition,20250901
1074451000119102,Osteoarthritis of left sternoclavicular joint,Osteoarthritis,SNOMED CT US Edition,20250901
1074461000119100,Osteoarthritis of right foot,Osteoarthritis,SNOMED CT US Edition,20250901
1074471000119106,Osteoarthritis of midtarsal joint of right foot,Osteoarthritis,SNOMED CT US Edition,20250901
1074481000119109,Osteoarthritis of first metatarsophalangeal joint of right foot,Osteoarthritis,SNOMED CT US Edition,20250901
1074491000119107,Osteoarthritis of left foot,Osteoarthritis,SNOMED CT US Edition,20250901
1074501000119100,Osteoarthritis of midtarsal joint of left foot,Osteoarthritis,SNOMED CT US Edition,20250901
1074511000119102,Osteoarthritis of first metatarsophalangeal joint of left foot,Osteoarthritis,SNOMED CT US Edition,20250901
1074521000119109,Osteoarthritis of right foot due to trauma,Osteoarthritis,SNOMED CT US Edition,20250901
1074531000119107,Osteoarthritis of left foot due to trauma,Osteoarthritis,SNOMED CT US Edition,20250901
1074541000119103,Secondary osteoarthritis of right foot,Osteoarthritis,SNOMED CT US Edition,20250901
1074551000119101,Secondary osteoarthritis of left foot,Osteoarthritis,SNOMED CT US Edition,20250901
1074561000119104,Osteoarthritis of right sacroiliac joint,Osteoarthritis,SNOMED CT US Edition,20250901
1074571000119105,Osteoarthritis of left sacroiliac joint,Osteoarthritis,SNOMED CT US Edition,20250901
107881000119100,Advanced collapse of scapholunate joint due to osteoarthritis,Osteoarthritis,SNOMED CT US Edition,20250901
109668000,Osteoarthritis of temporomandibular joint,Osteoarthritis,SNOMED CT US Edition,20250901
112961000119103,Bilateral osteoarthritis of feet,Osteoarthritis,SNOMED CT US Edition,20250901
112971000119109,Bilateral osteoarthritis of ankles,Osteoarthritis,SNOMED CT US Edition,20250901
112981000119107,Bilateral osteoarthritis of knees,Osteoarthritis,SNOMED CT US Edition,20250901
112991000119105,Osteoarthritis of bilateral hip joints,Osteoarthritis,SNOMED CT US Edition,20250901
113001000119106,Bilateral osteoarthritis of finger of hands,Osteoarthritis,SNOMED CT US Edition,20250901
113011000119109,Osteoarthritis of joint of bilateral hands,Osteoarthritis,SNOMED CT US Edition,20250901
